Pays_indic,Country Name,Country Code,Indicator Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO_Alternative and nuclear energy (% of total energy use),Angola,AGO,Alternative and nuclear energy (% of total energy use),1.12139734392974,1.1140461472443701,1.1977335189696001,1.06744615633057,1.09858951359899,1.20808494709243,1.19432920464363,1.1661675612907298,1.12066406307365,1.11030859523597,0.742241766154085,0.738678206207428,0.8021659615232549,0.82062393164573,0.813644213103175,0.8183853220711391,0.816588672310686,0.950384074883264,1.09597529328829,0.8803349600757391,0.873405083422169,0.9339559268431421,1.00205331935022,1.02834621251151,1.17859321777103,1.60962521879031,2.06296853414897,1.7769573847842899,2.14597187989868,1.94943331072076,2.2507551575992997,2.3523022268066804,2.01780152844807,2.54660688169104,2.54884001929019,,,,,
AGO_Energy use (kg of oil equivalent per capita),Angola,AGO,Energy use (kg of oil equivalent per capita),547.044587473231,531.589110099178,506.059343568321,501.904916698426,489.32713203062696,500.924864763561,489.11169656992996,483.6244825408701,486.03764890834395,480.094200000576,496.53649028652495,491.802570695934,478.585591978615,479.819846181838,470.93862170255403,455.66605470008795,454.05517599503196,449.254449933665,433.882494734075,441.163218779962,438.550019264464,442.978839594794,448.26172012459097,467.64405929560206,464.80784747105906,433.57253071252603,458.79416479515197,471.694177230981,491.97861652717796,515.217119303077,520.962358420099,521.780681377771,552.363633626363,533.761009664135,544.609322198063,,,,,
AGO_GDP (current US$),Angola,AGO,GDP (current US$),5930503400.83228,5550483035.90815,5550483035.90815,5784341596.36339,6131475065.23832,7553560459.1042795,7072063345.44786,8083872012.473259,8769250549.73596,10201099039.5655,11228764963.1618,10603784541.196999,8307810973.58848,5768720421.61367,4438321017.390679,5538749259.94714,7526446605.51712,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,15285594828.418001,17812705294.325,23552052407.5488,36970918699.2523,52381006892.037994,65266452081.385994,88538611205.1433,70307163678.23799,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591,101353230784.59401,94635415869.9851
AGO_GDP growth (annual %),Angola,AGO,GDP growth (annual %),,-4.4000012193616795,0.0,4.20000142834165,6.00000216437297,3.49999948953466,2.90000174265121,4.08274863648847,6.12889047620018,0.0416214618442581,-3.45009868360484,0.9913593014608749,-5.8382807331314,-23.9834174420578,1.3393634364798899,15.0000000288634,13.544369755102599,7.27427735460373,4.6911464509354905,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.952861768710301,15.028915317530197,11.547683178163302,14.010018242632801,11.166138330361301,0.8587126150983121,4.8591975412894906,3.47198137570336,8.54214733662195,4.954590470397281,4.82262555122684,0.9435756133887591,-2.58009724323077,-0.147207419438828,-2.00357675383141,-0.8693937853044671
"AGO_Population, total",Angola,AGO,"Population, total",8341289.0,8640446.0,8952950.0,9278096.0,9614754.0,9961997.0,10320111.0,10689250.0,11068050.0,11454777.0,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015780.0,26941779.0,27884381.0,28842484.0,29816748.0,30809762.0,31825295.0
AGO_Émissions totales de GES (kt d’équivalent CO2),Angola,AGO,Émissions totales de GES (kt d’équivalent CO2),48001.866160000005,41894.79496,45243.80208,44852.06032,35878.30078,36714.19083,35982.41365,46721.25774,35736.7658,39342.98618,50806.542691400005,43761.081269,64997.83986,39775.107189999995,44657.243349000004,48230.298638,47136.215785,33091.22462,35275.1251,36119.4252,34780.6811,34371.8411,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.4651264052,40029.3921005695,40878.6519582578,41657.164846029904,,,,,,,
ALB_Alternative and nuclear energy (% of total energy use),Albania,ALB,Alternative and nuclear energy (% of total energy use),8.25965463118542,9.727009602779779,9.985082750792769,9.67546752161423,7.96470500322404,6.74108181151762,11.986751784733698,10.1345385495896,8.66995851177501,9.14789279975118,4.67639216416947,5.39955647786023,8.468053362077411,10.012654626878,10.6865738774824,12.311927784886198,16.0252893994925,14.3723174429082,13.875295267774902,20.2364797426568,19.677698581947897,18.2950697995059,17.9367848951218,18.781150431203603,20.6821147015307,20.332063632114,14.006447140135501,15.5496318593345,19.268817676540802,21.8750151944777,23.282191877561697,22.1093361945263,25.419173756688,26.068785011922802,24.548050209935898,,,,,
ALB_Energy use (kg of oil equivalent per capita),Albania,ALB,Energy use (kg of oil equivalent per capita),1149.5360960360401,989.200148492914,966.6832837812891,1000.1220129678301,1018.26314225619,916.555190602146,963.927169506077,921.893044018284,927.744518727469,896.437762376845,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.1836322825241,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.5843780829871,706.8594077219169,679.861765101008,710.748498463347,732.316681804627,729.1543727285181,764.968616564465,687.896259861998,801.3299750059759,808.4558395959441,,,,,
ALB_GDP (current US$),Albania,ALB,GDP (current US$),,,,,1857338011.85488,1897050133.42015,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199642579.96974,2258515610.0886197,2545967253.2416,3212119044.17089,3480355188.6006303,3922099470.9731297,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.107809,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4707,13019693450.8816,15147020535.3869,15278077446.8643
ALB_GDP growth (annual %),Albania,ALB,GDP growth (annual %),,5.7456352920068,2.9485968015687,1.1049382618269998,-1.25159664469855,1.78064395977269,5.6372431782518495,-0.7878426550129379,-1.4200396548224699,9.83654897047623,-9.575640169486448,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.322333320080302,9.09999944360231,-10.9199840851035,8.83008770869769,12.889896733188902,6.95003613422918,8.29007002725659,4.53996064044719,5.53005077793323,5.5099986931984,5.52991480926491,5.900083957380639,5.97998203625438,7.499969560291659,3.3500665279386497,3.70689230100685,2.5453218447701698,1.41752599216282,1.00198715014967,1.7744867849549602,2.21875223166761,3.31480475341897,3.8021974879680402,4.0713012947902,2.21406315283737
"ALB_Population, total",Albanie,ALB,"Population, total",2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0
ALB_Émissions totales de GES (kt d’équivalent CO2),Albanie,ALB,Émissions totales de GES (kt d’équivalent CO2),11433.5842,10520.3625,10730.5261,11567.5737,12215.2375,11821.5831,12079.105,12175.4832,12603.8867,12552.7369,11112.72956,8273.6324,6227.1532,6067.1799,6793.7963,6421.5713,6187.3841,5500.607,5246.1311,6493.4872,8389.2767,6820.6244,7503.059759999999,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.81238694848,8506.99603431525,8712.296364553691,8898.640911402741,,,,,,,
"ARB_Agriculture, forestry, and fishing, value added (% of GDP)",Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",6.10996090108752,6.96567969722244,7.0539979716964805,7.3670204037907006,7.576228243172751,8.58421758995499,9.47673589160636,9.8195324383189,10.368772094413401,10.3075644118384,9.94603125202121,10.635786486823301,10.7037307538746,10.2868300534163,10.6967203386006,9.65437355788315,9.91731708259175,8.795232305821871,9.50907176223612,8.8795298634884,7.463832661905419,7.89886408900123,7.767901470723519,7.474684369051,6.7543061369288395,6.1259239519965805,5.8003025797173295,5.44406795112981,4.63734961648678,5.39433415320985,5.47537330245329,5.2855700365581395,4.95270115154327,5.03711773081524,5.14313936632691,5.395330954517861,5.29759423098027,5.11651499228207,4.838216961802231,4.909686407174821
ARB_Alternative and nuclear energy (% of total energy use),Arab World,ARB,Alternative and nuclear energy (% of total energy use),1.11138126552984,0.970610028719355,0.8744386816129319,0.750300966099109,0.759656925413816,0.693671440887744,0.660358566753548,0.6894135171864461,0.635368371065828,0.642140751459732,0.597810619391442,0.5274193155690421,0.46023484362570205,0.43285338724164,0.42485035643633595,0.40978073089622796,0.443233148385724,0.442064277504391,0.44278064117479293,0.46549377450901097,0.42414090796324394,0.428035136583491,0.36255660007966495,0.396425896108443,0.39046666087119697,0.445672921671385,0.423073457444931,0.423763487521855,0.35060382865554995,0.358836227042128,0.43421532069065294,0.416437985199475,0.396857461674712,0.446660790599733,0.414413209361359,,,,,
ARB_Energy use (kg of oil equivalent per capita),Arab World,ARB,Energy use (kg of oil equivalent per capita),794.4565020221561,887.245554747716,958.4312296163259,1001.76126944115,994.326571597204,1019.4874719603599,1035.9249298696,1090.4782478825698,1151.6334102682401,1178.4675660902199,1080.3124016356,1093.30419986461,1147.93878063755,1181.73022168926,1212.7398174557302,1266.25837053324,1287.8911361307598,1307.66469062283,1297.94300743887,1282.5662120700301,1284.96416906586,1351.65947128487,1387.55357019625,1379.58873496785,1428.5529514497,1483.60900532873,1550.24438938209,1581.7765684592002,1666.03441837901,1712.0246148830702,1772.4040844210397,1738.29488061577,1848.8835910656,1805.69875378124,1961.3665296082602,,,,,
